Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland;Ukendt Region;Total
2020-03-01;1;0;0;0;0;0;1
2020-03-02;0;0;0;0;0;0;0
2020-03-03;1;0;0;0;0;0;1
2020-03-04;0;0;0;0;0;0;0
2020-03-05;1;0;0;0;0;0;1
2020-03-06;3;1;0;0;0;0;4
2020-03-07;0;0;0;0;0;0;0
2020-03-08;3;0;0;0;0;0;3
2020-03-09;3;6;0;0;0;0;9
2020-03-10;6;5;1;3;0;0;15
2020-03-11;4;4;2;0;0;0;10
2020-03-12;3;6;1;7;1;0;18
2020-03-13;13;2;3;7;1;0;26
2020-03-14;9;6;3;3;3;0;24
2020-03-15;18;5;3;4;3;0;33
2020-03-16;23;12;5;3;2;0;45
2020-03-17;25;8;5;6;3;0;47
2020-03-18;21;13;5;4;4;0;47
2020-03-19;29;6;6;4;5;0;50
2020-03-20;33;14;10;5;2;0;64
2020-03-21;14;10;4;4;2;0;34
2020-03-22;22;7;3;7;3;0;42
2020-03-23;43;11;10;16;5;0;85
2020-03-24;37;11;12;14;6;1;81
2020-03-25;40;18;14;14;6;0;92
2020-03-26;41;11;10;12;7;1;82
2020-03-27;38;15;19;11;5;0;88
2020-03-28;31;21;16;10;5;0;83
2020-03-29;25;9;9;4;4;1;52
2020-03-30;39;13;4;11;1;1;69
2020-03-31;28;8;4;9;2;0;51
2020-04-01;29;8;13;6;4;1;61
2020-04-02;38;13;6;10;5;0;72
2020-04-03;33;8;8;11;12;0;72
2020-04-04;26;7;0;7;3;1;44
2020-04-05;23;5;4;2;1;1;36
2020-04-06;28;10;7;4;1;1;51
2020-04-07;36;8;6;6;0;0;56
2020-04-08;14;5;5;3;1;0;28
2020-04-09;18;7;1;8;0;0;34
2020-04-10;16;7;1;6;3;1;34
2020-04-11;17;5;5;3;1;0;31
2020-04-12;13;5;3;4;2;0;27
2020-04-13;18;7;1;4;0;0;30
2020-04-14;22;8;3;10;1;1;45
2020-04-15;12;11;1;5;1;0;30
2020-04-16;17;6;1;9;0;0;33
2020-04-17;13;10;2;2;0;0;27
2020-04-18;15;9;1;2;0;0;27
2020-04-19;20;9;0;4;0;1;34
2020-04-20;16;11;2;4;0;0;33
2020-04-21;18;13;2;5;0;0;38
2020-04-22;15;9;3;2;0;0;29
2020-04-23;16;11;1;4;0;1;33
2020-04-24;9;9;1;2;1;0;22
2020-04-25;18;7;0;1;1;0;27
2020-04-26;20;2;1;3;0;0;26
2020-04-27;8;11;0;2;0;0;21
2020-04-28;12;2;1;0;0;0;15
2020-04-29;9;4;0;1;1;0;15
2020-04-30;10;5;0;1;0;1;17
2020-05-01;9;5;1;1;0;0;16
2020-05-02;14;5;0;5;0;0;24
2020-05-03;13;3;0;0;0;0;16
2020-05-04;8;3;0;3;0;1;15
2020-05-05;8;8;0;0;0;0;16
2020-05-06;4;2;0;0;0;0;6
2020-05-07;11;4;0;0;0;0;15
2020-05-08;6;2;1;0;0;0;9
2020-05-09;4;3;0;3;0;0;10
2020-05-10;7;2;1;0;0;0;10
2020-05-11;6;1;1;0;0;0;8
2020-05-12;6;0;0;2;0;0;8
2020-05-13;4;2;0;0;0;0;6
2020-05-14;9;2;2;0;0;0;13
2020-05-15;5;7;4;0;1;0;17
2020-05-16;1;1;2;1;0;0;5
2020-05-17;2;0;0;2;0;0;4
2020-05-18;9;2;2;1;0;0;14
2020-05-19;4;2;0;1;0;0;7
2020-05-20;2;3;0;2;0;0;7
2020-05-21;3;3;0;0;0;0;6
2020-05-22;9;2;0;2;0;0;13
2020-05-23;5;3;0;1;0;0;9
2020-05-24;1;1;0;0;0;0;2
2020-05-25;4;0;2;0;0;0;6
2020-05-26;7;0;3;0;1;0;11
2020-05-27;5;2;0;0;0;0;7
2020-05-28;5;0;0;0;0;0;5
2020-05-29;8;1;0;0;0;0;9
2020-05-30;5;1;0;1;0;0;7
2020-05-31;3;0;1;0;0;0;4
2020-06-01;3;0;1;1;0;0;5
2020-06-02;4;2;0;0;0;0;6
2020-06-03;1;2;0;0;0;0;3
2020-06-04;2;2;1;0;0;0;5
2020-06-05;7;1;1;0;0;0;9
2020-06-06;2;0;0;0;0;0;2
2020-06-07;3;0;1;0;0;0;4
2020-06-08;3;1;0;0;0;1;5
2020-06-09;0;1;0;0;0;0;1
2020-06-10;0;0;0;0;1;0;1
2020-06-11;0;0;0;0;1;0;1
2020-06-12;3;2;0;0;1;0;6
2020-06-13;3;1;0;0;0;0;4
2020-06-14;1;0;0;0;0;0;1
2020-06-15;1;1;0;0;0;0;2
2020-06-16;2;3;0;0;1;1;7
2020-06-17;2;0;1;0;2;0;5
2020-06-18;1;0;0;0;1;0;2
2020-06-19;2;2;0;0;0;0;4
2020-06-20;1;1;0;0;2;0;4
2020-06-21;2;0;0;1;1;0;4
2020-06-22;2;1;0;0;2;0;5
2020-06-23;1;0;0;2;1;0;4
2020-06-24;3;0;0;0;3;0;6
2020-06-25;3;1;0;0;1;0;5
2020-06-26;1;0;0;0;0;0;1
2020-06-27;1;1;0;1;1;0;4
2020-06-28;1;1;0;0;4;0;6
2020-06-29;1;0;0;0;2;0;3
2020-06-30;0;0;0;0;0;0;0
2020-07-01;1;1;0;0;0;0;2
2020-07-02;2;0;1;0;1;0;4
2020-07-03;0;0;0;1;0;0;1
2020-07-04;0;0;0;0;0;0;0
2020-07-05;1;0;1;0;0;0;2
2020-07-06;1;1;0;0;0;0;2
2020-07-07;1;0;0;0;1;0;2
2020-07-08;0;0;0;0;1;0;1
2020-07-09;1;1;1;0;0;0;3
2020-07-10;1;0;0;0;2;0;3
2020-07-11;4;0;0;0;1;0;5
2020-07-12;0;0;0;0;0;0;0
2020-07-13;0;0;0;0;0;0;0
2020-07-14;2;0;0;1;0;0;3
2020-07-15;2;1;0;0;0;0;3
2020-07-16;1;0;0;0;0;0;1
2020-07-17;2;1;0;0;0;0;3
2020-07-18;2;0;0;0;0;0;2
2020-07-19;1;1;0;0;0;0;2
2020-07-20;2;1;0;0;0;0;3
2020-07-21;2;0;0;0;0;0;2
2020-07-22;3;0;0;1;0;0;4
2020-07-23;0;0;0;0;1;0;1
2020-07-24;0;1;1;0;0;0;2
2020-07-25;2;2;1;0;0;0;5
2020-07-26;1;1;0;0;0;0;2
2020-07-27;2;1;0;0;0;0;3
2020-07-28;1;1;0;0;0;0;2
2020-07-29;2;2;0;2;0;0;6
2020-07-30;2;2;0;0;1;0;5
2020-07-31;0;0;1;2;0;0;3
2020-08-01;0;1;0;3;0;0;4
2020-08-02;0;2;0;0;0;0;2
2020-08-03;1;2;1;3;0;0;7
2020-08-04;1;3;0;1;0;0;5
2020-08-05;3;0;0;4;0;0;7
2020-08-06;0;1;1;0;1;0;3
2020-08-07;2;0;0;3;0;0;5
2020-08-08;0;1;0;2;0;0;3
2020-08-09;0;1;0;1;0;0;2
2020-08-10;1;1;0;2;0;0;4
2020-08-11;1;1;0;1;0;0;3
2020-08-12;1;1;0;0;1;0;3
2020-08-13;2;0;0;0;1;1;4
2020-08-14;2;1;0;2;0;1;6
2020-08-15;0;2;0;0;0;0;2
2020-08-16;1;0;0;3;1;0;5
2020-08-17;2;2;0;3;1;0;8
2020-08-18;1;0;0;0;0;0;1
2020-08-19;1;1;1;1;1;1;6
2020-08-20;1;1;0;5;0;0;7
2020-08-21;0;0;1;2;2;0;5
2020-08-22;2;0;0;0;1;0;3
2020-08-23;1;0;1;1;1;0;4
2020-08-24;1;0;0;1;0;1;3
2020-08-25;2;0;0;1;0;0;3
2020-08-26;2;3;0;0;1;2;8
2020-08-27;0;1;0;0;0;0;1
2020-08-28;2;0;0;1;1;0;4
2020-08-29;1;0;0;0;0;0;1
2020-08-30;2;0;0;1;0;0;3
2020-08-31;2;2;1;1;0;0;6
2020-09-01;1;0;0;0;0;0;1
2020-09-02;2;0;2;0;0;1;5
2020-09-03;2;0;0;1;0;1;4
2020-09-04;4;0;2;2;0;0;8
2020-09-05;5;0;1;4;2;0;12
2020-09-06;6;0;1;1;1;0;9
2020-09-07;5;0;1;1;0;0;7
2020-09-08;2;1;2;0;1;0;6
2020-09-09;8;1;2;1;1;0;13
2020-09-10;10;1;0;1;2;0;14
2020-09-11;4;3;0;3;1;0;11
2020-09-12;10;1;3;2;1;0;17
2020-09-13;5;2;2;1;0;0;10
2020-09-14;7;2;2;0;2;0;13
2020-09-15;9;0;0;3;1;1;14
2020-09-16;12;1;2;2;3;1;21
2020-09-17;3;3;0;3;3;1;13
2020-09-18;9;2;0;1;1;1;14
2020-09-19;10;2;4;4;4;0;24
2020-09-20;13;0;2;3;1;0;19
2020-09-21;10;1;4;1;4;1;21
2020-09-22;9;2;1;2;0;0;14
2020-09-23;12;5;2;2;3;0;24
2020-09-24;10;3;6;4;3;0;26
2020-09-25;12;1;2;1;2;0;18
2020-09-26;5;2;0;4;1;0;12
2020-09-27;10;3;3;2;1;0;19
2020-09-28;13;1;6;1;0;0;21
2020-09-29;6;0;2;4;2;0;14
2020-09-30;8;4;2;5;0;1;20
2020-10-01;7;2;4;8;2;0;23
2020-10-02;6;5;1;4;3;0;19
2020-10-03;9;0;0;2;0;0;11
2020-10-04;11;1;4;3;1;1;21
2020-10-05;15;2;2;8;2;1;30
2020-10-06;7;0;2;1;0;0;10
2020-10-07;9;2;1;3;1;0;16
2020-10-08;3;1;1;4;0;0;9
2020-10-09;3;2;3;4;2;1;15
2020-10-10;5;2;2;2;3;1;15
2020-10-11;6;1;2;3;2;0;14
2020-10-12;12;1;2;8;1;0;24
2020-10-13;8;1;3;4;1;2;19
2020-10-14;10;1;2;5;2;2;22
2020-10-15;11;0;1;4;5;0;21
2020-10-16;8;3;1;5;1;3;21
2020-10-17;8;2;1;3;1;0;15
2020-10-18;10;0;5;6;3;0;24
2020-10-19;10;5;3;5;1;1;25
2020-10-20;10;1;4;3;1;0;19
2020-10-21;13;2;4;5;1;0;25
2020-10-22;12;2;2;2;0;0;18
2020-10-23;12;5;2;3;4;1;27
2020-10-24;11;3;2;4;2;0;22
2020-10-25;13;1;7;2;3;1;27
2020-10-26;12;7;2;6;3;2;32
2020-10-27;16;1;4;9;4;1;35
2020-10-28;12;2;5;6;5;0;30
2020-10-29;18;2;8;5;4;0;37
2020-10-30;11;4;5;8;5;0;33
2020-10-31;21;5;6;4;4;0;40
2020-11-01;15;1;12;8;0;2;38
2020-11-02;21;4;8;4;3;0;40
2020-11-03;21;6;3;4;7;0;41
2020-11-04;22;11;6;7;6;0;52
2020-11-05;16;9;12;7;5;0;49
2020-11-06;15;1;6;8;2;0;32
2020-11-07;12;5;3;4;4;1;29
2020-11-08;14;7;7;6;4;1;39
2020-11-09;25;8;6;11;6;0;56
2020-11-10;15;6;6;7;2;1;37
2020-11-11;26;6;3;8;3;3;49
2020-11-12;14;3;5;10;0;2;34
2020-11-13;18;5;3;10;3;0;39
2020-11-14;16;7;2;6;2;1;34
2020-11-15;19;3;2;8;0;0;32
2020-11-16;26;6;3;11;4;0;50
2020-11-17;28;4;11;15;3;2;63
2020-11-18;19;6;7;11;3;0;46
2020-11-19;14;9;6;10;1;2;42
2020-11-20;16;4;7;11;3;1;42
2020-11-21;13;5;7;5;0;2;32
2020-11-22;23;3;5;4;4;1;40
2020-11-23;22;7;8;9;1;1;48
2020-11-24;14;5;5;11;4;0;39
2020-11-25;20;8;4;9;5;1;47
2020-11-26;21;6;11;4;3;3;48
2020-11-27;16;3;2;7;2;0;30
2020-11-28;9;5;5;8;3;1;31
2020-11-29;16;7;4;7;0;0;34
2020-11-30;26;4;9;4;1;1;45
2020-12-01;21;3;7;17;2;0;50
2020-12-02;24;5;7;12;2;4;54
2020-12-03;32;9;5;8;0;0;54
2020-12-04;26;10;4;13;2;0;55
2020-12-05;35;12;6;11;2;0;66
2020-12-06;42;13;4;10;0;0;69
2020-12-07;57;12;6;14;1;0;90
2020-12-08;39;8;4;8;3;0;62
2020-12-09;46;9;6;13;1;1;76
2020-12-10;55;17;12;14;1;1;100
2020-12-11;47;15;6;24;1;1;94
2020-12-12;56;7;6;10;4;2;85
2020-12-13;57;19;13;11;3;0;103
2020-12-14;72;25;10;17;2;0;126
2020-12-15;74;35;13;20;4;0;146
2020-12-16;92;19;11;12;6;1;141
2020-12-17;87;23;8;22;6;1;147
2020-12-18;85;27;11;17;7;2;149
2020-12-19;92;18;12;20;10;1;153
2020-12-20;67;24;11;19;7;0;128
2020-12-21;101;29;19;21;11;2;183
2020-12-22;76;32;12;19;8;0;147
2020-12-23;73;24;15;26;14;0;152
2020-12-24;67;20;7;21;6;1;122
2020-12-25;99;25;13;25;4;1;167
2020-12-26;82;17;15;20;9;1;144
2020-12-27;77;23;11;17;10;0;138
2020-12-28;89;38;33;41;8;1;210
2020-12-29;79;20;10;29;4;2;144
2020-12-30;70;24;11;17;4;0;126
2020-12-31;61;19;17;13;11;1;122
2021-01-01;79;21;17;21;10;2;150
2021-01-02;63;32;11;18;13;2;139
2021-01-03;54;27;12;10;12;1;116
2021-01-04;66;37;13;28;13;1;158
2021-01-05;43;20;15;21;6;0;105
2021-01-06;61;28;12;20;7;0;128
2021-01-07;73;22;17;17;9;1;139
2021-01-08;50;27;9;22;9;0;117
2021-01-09;62;17;14;13;7;0;113
2021-01-10;42;23;13;16;13;0;107
2021-01-11;50;24;19;24;5;1;123
2021-01-12;45;14;11;21;5;1;97
2021-01-13;57;25;6;12;5;1;106
2021-01-14;40;14;10;17;4;3;88
2021-01-15;35;21;21;15;6;0;98
2021-01-16;33;13;14;13;5;1;79
2021-01-17;41;15;12;5;7;0;80
2021-01-18;55;20;17;22;11;0;125
2021-01-19;42;21;18;10;14;0;105
2021-01-20;30;9;10;6;11;0;66
2021-01-21;47;16;9;9;7;1;89
2021-01-22;39;15;9;11;6;1;81
2021-01-23;35;14;2;4;3;1;59
2021-01-24;26;12;6;8;8;0;60
2021-01-25;40;14;8;7;5;0;74
2021-01-26;28;8;3;5;5;0;49
2021-01-27;28;15;7;5;3;0;58
2021-01-28;20;12;7;7;5;0;51
2021-01-29;18;12;5;6;6;1;48
2021-01-30;13;6;2;3;5;0;29
2021-01-31;20;5;6;7;2;1;41
2021-02-01;23;8;7;5;3;1;47
2021-02-02;19;3;5;3;6;0;36
2021-02-03;8;10;4;2;6;2;32
2021-02-04;17;7;3;4;1;0;32
2021-02-05;17;12;2;4;3;1;39
2021-02-06;6;2;5;2;3;3;21
2021-02-07;21;3;2;1;2;1;30
2021-02-08;13;9;5;4;4;0;35
2021-02-09;18;8;6;1;7;0;40
2021-02-10;18;7;5;5;1;0;36
2021-02-11;8;6;2;5;1;1;23
2021-02-12;11;3;5;2;1;0;22
2021-02-13;14;7;9;2;1;0;33
2021-02-14;6;9;2;3;1;0;21
2021-02-15;6;7;4;4;4;0;25
2021-02-16;9;4;3;3;1;0;20
2021-02-17;8;4;2;4;4;0;22
2021-02-18;11;6;5;4;5;0;31
2021-02-19;12;7;9;1;1;1;31
2021-02-20;13;3;4;1;2;1;24
2021-02-21;6;3;5;1;4;0;19
2021-02-22;9;8;4;4;3;0;28
2021-02-23;8;6;4;2;4;0;24
2021-02-24;15;4;6;3;4;0;32
2021-02-25;13;4;10;6;0;0;33
2021-02-26;8;4;11;3;1;0;27
2021-02-27;12;6;5;4;0;0;27
2021-02-28;12;3;5;1;1;0;22
2021-03-01;6;11;4;2;0;1;24
2021-03-02;16;8;8;2;2;1;37
2021-03-03;14;1;9;1;2;1;28
2021-03-04;14;1;8;3;1;1;28
2021-03-05;6;5;6;5;0;1;23
2021-03-06;17;6;8;5;3;1;40
2021-03-07;9;5;5;2;0;0;21
